,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
cold,0.0008928057139565693,0.0006224755159630388,0.0003118567953595709,0.0003127036978313338,0.00012503256056264653,0.0
northern,0.00017280110592707794,4.1498367730869255e-05,6.237135907191417e-05,2.202138717122069e-05,1.041938004688721e-05,0.0
breeze,0.0002880018432117966,5.5331156974492333e-05,0.0004989708725753134,3.963849690819724e-05,3.125814014066163e-05,0.0
play,0.0002016012902482576,0.00017982626016710009,0.00015592839767978545,0.00011451121329034758,0.0003334201615003907,0.0
upon,0.0036288232244686366,0.0012172854534388314,0.004740223289465478,0.0022461814914645105,0.0019275853086741339,0.0010145417653026716
cheeks,0.0002016012902482576,0.0002766557848724617,0.00018711407721574253,0.00016736254250127725,0.0,0.0
braces,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
nerves,8.640055296353897e-05,0.00012449510319260775,0.0,1.7617109736976553e-05,1.041938004688721e-05,0.0
fills,0.0001440009216058983,0.0,0.0,8.808554868488276e-06,2.083876009377442e-05,0.0
delight,0.000921605898277749,5.5331156974492333e-05,6.237135907191417e-05,0.00016736254250127725,9.377442042198489e-05,0.0
understand,0.0004608029491388745,0.0007608034083992696,0.00034304247489552796,0.0010922608036925462,0.0007397759833289919,0.00016909029421711193
feeling,0.0007776049766718507,0.00048414762352680797,0.00015592839767978545,0.00036555502704226344,0.0005105496222974733,0.0
travelled,0.00017280110592707794,9.682952470536159e-05,0.0,4.404277434244138e-05,0.0,0.0
regions,0.00017280110592707794,0.0,0.0,1.7617109736976553e-05,2.083876009377442e-05,0.0
towards,0.0027072173261908877,0.0005671443589885465,0.001029127424686584,0.0015855398763278896,0.00044803334201615,0.0
advancing,0.00011520073728471862,1.3832789243623083e-05,3.1185679535957086e-05,0.00013212832302732415,1.041938004688721e-05,0.0
gives,0.00017280110592707794,8.299673546173851e-05,6.237135907191417e-05,0.00012772404559308,0.00037509768168793957,0.0
foretaste,2.8800184321179656e-05,0.0,0.0,4.404277434244138e-06,1.041938004688721e-05,0.0
icy,8.640055296353897e-05,1.3832789243623083e-05,0.0,2.202138717122069e-05,0.0,0.00016909029421711193
climes,2.8800184321179656e-05,0.0,0.0,1.7617109736976553e-05,0.0,0.00016909029421711193
inspirited,8.640055296353897e-05,0.0,0.0,0.0,0.0,0.0
wind,0.0007776049766718507,0.0006086427267194157,0.0008108276679348843,0.00018057537480400964,4.167752018754884e-05,0.0
promise,0.0006336040550659524,0.0004564820450395618,9.355703860787127e-05,0.0005064919049380758,0.0001041938004688721,0.0
daydreams,5.760036864235931e-05,0.0,0.0,0.0,0.0,0.0
become,0.0009504060825989287,0.0003734853095778233,9.355703860787127e-05,0.0006914715571763296,0.0011044542849700442,0.0015218126479540075
fervent,5.760036864235931e-05,0.0,0.0,2.202138717122069e-05,0.0,0.0
vivid,8.640055296353897e-05,1.3832789243623083e-05,0.0,2.6425664605464827e-05,1.041938004688721e-05,0.0
try,0.00011520073728471862,0.0008852985115918773,0.00015592839767978545,0.0002686609234888924,0.00035425892159416517,0.00016909029421711193
vain,0.0003744023961753355,6.916394621811542e-05,0.0002182997567516996,0.0001981924845409862,0.0001041938004688721,0.0
persuaded,0.0002016012902482576,0.0,0.0,3.5234219473953106e-05,2.083876009377442e-05,0.0
pole,0.00011520073728471862,5.5331156974492333e-05,3.1185679535957086e-05,4.404277434244138e-06,1.041938004688721e-05,0.0
seat,0.0001440009216058983,0.0004564820450395618,0.00018711407721574253,0.0003038951429628455,3.125814014066163e-05,0.0
