,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
frankenstein,1.0,0.1811418307523143,0.1956571998557305,0.13303969111295838,0.29295646251910223,0.045644994036295884
dracula,0.1811418307523143,0.9999999999999997,0.21769974925066424,0.11742455068786894,0.22227788600892312,0.03086590428503319
treasure_island,0.1956571998557305,0.21769974925066424,1.0,0.15152980927859153,0.2335827695225751,0.03432297803379336
monte_cristo,0.13303969111295838,0.11742455068786894,0.15152980927859153,0.9999999999999992,0.16843583332198833,0.020795792412822995
republic,0.29295646251910223,0.22227788600892312,0.2335827695225751,0.16843583332198833,1.0000000000000004,0.0689422584507979
communist_manifesto,0.045644994036295884,0.03086590428503319,0.03432297803379336,0.020795792412822995,0.0689422584507979,0.9999999999999997
