,0
frankenstein,0.47712125471966244
modern,0.0
prometheus,0.47712125471966244
mary,0.30102999566398114
wollstonecraft,0.47712125471966244
godwin,0.47712125471966244
shelley,0.47712125471966244
contents,-0.06694678963061322
letter,0.0
chapter,0.0791812460476248
mrs,0.17609125905568124
saville,0.47712125471966244
england,-0.06694678963061322
st,0.0791812460476248
petersburgh,0.47712125471966244
dec,0.47712125471966244
th,-0.06694678963061322
will,-0.06694678963061322
rejoice,0.0
hear,0.0
disaster,0.0791812460476248
accompanied,0.0
commencement,0.17609125905568124
enterprise,0.17609125905568124
regarded,0.0791812460476248
evil,0.0
forebodings,0.17609125905568124
arrived,0.0
yesterday,0.0
first,-0.06694678963061322
task,-0.06694678963061322
assure,-0.06694678963061322
dear,0.0
sister,0.0791812460476248
welfare,0.30102999566398114
increasing,0.0791812460476248
confidence,0.0
success,0.0
undertaking,0.17609125905568124
already,-0.06694678963061322
far,-0.06694678963061322
north,0.0
london,0.0
walk,0.0
streets,0.0791812460476248
feel,0.0
cold,0.0
northern,0.0
breeze,0.0
play,0.0
upon,-0.06694678963061322
cheeks,0.0791812460476248
braces,0.47712125471966244
nerves,0.0791812460476248
fills,0.17609125905568124
delight,0.0
understand,-0.06694678963061322
feeling,0.0
travelled,0.17609125905568124
regions,0.17609125905568124
towards,0.0
advancing,0.0
gives,0.0
foretaste,0.17609125905568124
icy,0.0791812460476248
climes,0.17609125905568124
inspirited,0.47712125471966244
wind,0.0
promise,0.0
daydreams,0.47712125471966244
become,-0.06694678963061322
fervent,0.30102999566398114
vivid,0.0791812460476248
try,-0.06694678963061322
vain,0.0
persuaded,0.17609125905568124
pole,0.0
seat,0.0
frost,0.17609125905568124
desolation,0.17609125905568124
ever,-0.06694678963061322
presents,0.17609125905568124
imagination,0.0791812460476248
region,0.17609125905568124
beauty,0.0791812460476248
margaret,0.47712125471966244
sun,0.0
visible,0.0
broad,0.0791812460476248
disk,0.47712125471966244
just,-0.06694678963061322
skirting,0.47712125471966244
horizon,0.0
diffusing,0.47712125471966244
perpetual,0.0791812460476248
splendour,0.17609125905568124
leave,0.0
put,-0.06694678963061322
trust,0.0
preceding,0.0
navigators,0.30102999566398114
snow,0.0791812460476248
banished,0.0791812460476248
sailing,0.0
calm,0.0
sea,0.0
may,-0.06694678963061322
wafted,0.30102999566398114
land,-0.06694678963061322
surpassing,0.17609125905568124
wonders,0.0791812460476248
every,-0.06694678963061322
hitherto,-0.06694678963061322
discovered,-0.06694678963061322
habitable,0.17609125905568124
globe,0.0
productions,0.0791812460476248
features,0.0
without,-0.06694678963061322
example,-0.06694678963061322
phenomena,0.17609125905568124
heavenly,0.0791812460476248
bodies,-0.06694678963061322
undoubtedly,0.0
undiscovered,0.30102999566398114
solitudes,0.47712125471966244
expected,0.0
country,-0.06694678963061322
eternal,-0.06694678963061322
light,0.0
discover,0.0791812460476248
wondrous,0.17609125905568124
power,-0.06694678963061322
attracts,0.17609125905568124
needle,0.30102999566398114
regulate,0.0791812460476248
thousand,0.0
celestial,0.30102999566398114
observations,0.30102999566398114
require,-0.06694678963061322
voyage,0.0
render,0.0791812460476248
seeming,0.0791812460476248
eccentricities,0.17609125905568124
consistent,0.17609125905568124
shall,-0.06694678963061322
satiate,0.30102999566398114
ardent,0.30102999566398114
curiosity,0.0
sight,-0.06694678963061322
part,-0.06694678963061322
world,-0.06694678963061322
never,-0.06694678963061322
visited,0.17609125905568124
tread,0.17609125905568124
imprinted,0.30102999566398114
foot,0.0
man,-0.06694678963061322
enticements,0.47712125471966244
sufficient,0.0
conquer,0.17609125905568124
fear,0.0
danger,0.0
death,-0.06694678963061322
induce,0.17609125905568124
commence,0.0791812460476248
laborious,0.0791812460476248
